len,spec_chars,domain,depth,numericals_count,word_count,label
38,1,0,1,6,12,1
299,38,0,3,101,27,1
339,40,0,3,112,31,1
43,2,0,3,0,33,1
43,4,0,2,4,29,1
29,2,0,2,1,18,1
43,4,0,2,4,29,1
36,2,0,2,0,28,1
42,4,0,2,3,27,1
39,3,0,2,11,8,1
40,3,0,2,11,8,1
39,3,0,2,10,8,1
39,3,0,2,9,9,1
39,3,0,2,11,8,1
38,3,0,2,9,8,1
42,3,0,2,13,9,1
39,3,0,2,11,8,1
40,3,0,2,12,8,1
40,3,0,2,10,9,1
51,5,0,2,9,19,1
39,3,0,2,9,8,1
41,3,0,2,9,13,1
42,3,0,2,9,11,1
39,3,0,2,12,8,1
42,3,0,2,9,13,1
43,3,0,2,9,14,1
40,3,0,2,9,9,1
38,3,0,2,9,8,1
39,3,0,2,9,10,1
41,3,0,2,9,11,1
41,3,0,2,9,8,1
47,3,0,2,9,14,1
46,3,0,2,9,14,1
39,3,0,2,9,8,1
38,3,0,2,9,8,1
50,3,0,2,8,14,1
41,3,0,2,9,14,1
42,3,0,2,10,14,1
41,3,0,2,9,11,1
38,3,0,2,9,8,1
43,3,0,2,11,14,1
41,3,0,2,10,10,1
41,3,0,2,10,10,1
43,5,0,2,10,8,1
38,3,0,2,5,13,1
35,3,0,2,4,11,1
32,4,0,2,3,4,1
37,4,0,2,1,17,1
39,4,0,2,0,17,1
32,3,0,2,0,8,1
37,3,0,2,3,16,1
36,3,0,2,3,15,1
36,3,0,2,3,13,1
35,4,0,2,3,9,1
35,4,0,2,3,9,1
26,2,0,3,6,1,1
34,6,0,3,0,6,1
54,5,0,3,18,18,1
46,4,0,3,14,16,1
56,5,0,3,17,18,1
33,2,0,2,3,14,1
55,4,0,3,0,23,1
37,4,0,1,0,19,1
41,3,0,2,0,24,1
42,3,0,2,0,24,1
36,3,0,3,2,17,1
50,6,0,3,14,15,1
43,6,0,1,6,11,1
43,6,0,1,6,11,1
43,6,0,1,6,11,1
39,4,0,1,4,11,1
36,3,0,2,8,12,1
36,3,0,2,8,12,1
36,3,0,2,8,12,1
36,3,0,2,8,12,1
36,3,0,2,8,12,1
36,3,0,2,8,12,1
36,3,0,2,8,12,1
45,6,0,1,5,16,1
40,4,0,2,8,4,1
40,3,0,2,1,28,1
17,4,0,1,1,2,1
49,6,0,2,6,14,1
84,2,0,5,0,46,1
71,10,0,4,14,22,1
55,8,0,4,20,10,1
51,8,0,4,17,6,1
45,6,0,4,14,8,1
59,8,0,4,17,15,1
65,10,0,4,19,21,1
59,8,0,4,15,15,1
76,12,0,4,19,25,1
70,11,0,4,19,22,1
64,9,0,4,15,20,1
55,5,0,4,14,20,1
78,12,0,4,16,25,1
45,6,0,4,20,4,1
50,9,0,4,16,9,1
47,6,0,4,20,4,1
47,6,0,4,20,4,1
44,6,0,4,12,10,1
69,10,0,4,18,35,1
58,11,0,4,20,9,1
46,6,0,4,15,7,1
58,9,0,4,15,10,1
46,6,0,4,15,6,1
47,6,0,4,15,10,1
47,6,0,4,15,8,1
55,8,0,4,15,15,1
45,6,0,4,15,10,1
46,6,0,4,15,11,1
44,6,0,4,16,8,1
57,6,0,4,17,15,1
61,6,0,4,19,23,1
56,5,0,4,15,20,1
44,5,0,4,14,8,1
57,7,0,4,15,16,1
64,10,0,4,20,17,1
62,9,0,4,15,22,1
49,6,0,4,17,6,1
71,7,0,4,19,26,1
66,7,0,4,19,28,1
181,13,0,10,39,44,1
115,15,0,9,30,25,1
125,17,0,9,30,30,1
121,17,0,9,30,29,1
132,19,0,9,30,24,1
137,19,0,9,31,36,1
116,15,0,9,30,20,1
186,15,0,10,38,35,1
54,7,0,4,18,8,1
62,6,0,4,16,22,1
48,6,0,4,15,7,1
119,17,0,9,29,19,1
102,13,0,9,28,21,1
120,17,0,9,30,18,1
98,12,0,6,16,37,1
122,15,0,9,28,32,1
148,15,0,7,41,31,1
128,17,0,9,28,24,1
45,6,0,4,20,4,1
186,15,0,12,51,39,1
116,15,0,9,28,28,1
109,14,0,9,29,19,1
45,6,0,4,20,4,1
